id,farm,sample,item,antibiotic,inhibition,sensitivity,microbe
5,Mpemba,Soil, Farm soil,CTX,24,S,E. coli
5,Mpemba,Soil, Farm soil,AMP,17,S,E. coli
5,Mpemba,Soil, Farm soil,GM,17,S,E. coli
5,Mpemba,Soil, Farm soil,CTX,15,S,Yersinia pestis
5,Mpemba,Soil, Farm soil,GM,5,R,Yersinia pestis
5,Mpemba,Soil, Farm soil,CRO,0,R,Yersinia pestis
5,Mpemba,Soil, Farm soil,CIP,25,S,Yersinia pestis
5,Mpemba,Soil, Farm soil ,SXT,6,R,Klebsiella pneumoniae
5,Mpemba,Soil, Farm soil ,CIP,20,R,Klebsiella pneumoniae
5,Mpemba,Soil, Farm soil ,TGC,17,R,Klebsiella pneumoniae
5,Mpemba,Soil, Farm soil ,CTX,17,R,Klebsiella pneumoniae
5,Mpemba,Soil, Farm soil ,AMP,6,R,Klebsiella pneumoniae
5,Mpemba,Soil, Farm soil ,GM,6,R,Klebsiella pneumoniae
5,Mpemba,Soil, Home soil,SXT,6,R,Klebsiella pneumoniae
5,Mpemba,Soil, Home soil,CIP,22,I,Klebsiella pneumoniae
5,Mpemba,Soil, Home soil,TGC,17,R,Klebsiella pneumoniae
5,Mpemba,Soil, Home soil,CTX,21,S,Klebsiella pneumoniae
5,Mpemba,Soil, Home soil,AMP,6,R,Klebsiella pneumoniae
5,Mpemba,Soil, Home soil,GM,7,R,Klebsiella pneumoniae
5,Mpemba,Soil, Home soil,ATM,25,S,Salmonella choleraesuis
5,Mpemba,Soil, Home soil,SXT,0,R,Salmonella choleraesuis
5,Mpemba,Soil, Home soil,GM,0,R,Salmonella choleraesuis
5,Mpemba,Soil, Home soil,VAN,0,R,Salmonella choleraesuis
5,Mpemba,Soil, Home soil,CRO,24,S,Salmonella choleraesuis
5,Mpemba,Soil, Home soil,CIP,28,S,Salmonella choleraesuis
5,Mpemba,Manure, Pig manure,SXT,6,R,E. coli
5,Mpemba,Manure, Pig manure,CIP,32,S,E. coli
5,Mpemba,Manure, Pig manure,TGC,22,S,E. coli
5,Mpemba,Manure, Pig manure,CTX,26,S,E. coli
5,Mpemba,Manure, Pig manure,AMP,6,R,E. coli
5,Mpemba,Manure, Pig manure,GM,11,R,E. coli
5,Mpemba,Manure, Pig manure,SXT,6,R,Klebsiella pneumoniae
5,Mpemba,Manure, Pig manure,CIP,26,S,Klebsiella pneumoniae
5,Mpemba,Manure, Pig manure,TGC,20,R,Klebsiella pneumoniae
5,Mpemba,Manure, Pig manure,CTX,27,S,Klebsiella pneumoniae
5,Mpemba,Manure, Pig manure,AMP,6,R,Klebsiella pneumoniae
5,Mpemba,Manure, Pig manure,GM,7,R,Klebsiella pneumoniae
5,Mpemba,Manure, Pig manure,SXT,11,R,Acinetobacter pitii
5,Mpemba,Manure, Pig manure,CIP,24,I,Acinetobacter pitii
5,Mpemba,Manure, Pig manure,GM,7,R,Acinetobacter pitii
5,Mpemba,Manure, Pig manure,MEM,24,S,Acinetobacter pitii
5,Mpemba,Manure, Pig manure,ATM,23,S,Acinetobacter Spp
5,Mpemba,Manure, Pig manure,SXT,0,R,Acinetobacter Spp
5,Mpemba,Manure, Pig manure,GM,23,S,Acinetobacter Spp
5,Mpemba,Manure, Pig manure,VAN,0,R,Acinetobacter Spp
5,Mpemba,Manure, Pig manure,CRO,0,R,Acinetobacter Spp
5,Mpemba,Manure, Pig manure,CIP,24,S,Acinetobacter Spp
5,Mpemba,Vegetable, Rape,SXT,7,R,Klebsiella pneumoniae
5,Mpemba,Vegetable, Rape,CIP,23,I,Klebsiella pneumoniae
5,Mpemba,Vegetable, Rape,TGC,18,S,Klebsiella pneumoniae
